px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
19.2861	8.19495	4.87526	1.12382	0.431078	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	1.46899
19.3844	8.40737	4.87277	1.1398	0.41781	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	2.33251
19.481	8.55702	4.78392	1.14377	0.400322	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	4.38719
19.5701	8.76962	4.76549	1.16884	0.411715	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0.642669
19.7343	8.93986	4.73932	1.15108	0.368124	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	4.32728
19.8052	9.16529	4.72346	1.18756	0.399611	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	1.03999
19.9376	9.38422	4.74297	1.19007	0.37909	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	2.85059
19.9799	9.61145	4.70871	1.23939	0.432037	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	2.80275
20.0689	9.84532	4.72808	1.25754	0.427667	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	0.615255
20.1287	10.0931	4.75979	1.2831	0.425721	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	7.01965
20.1776	10.359	4.80164	1.31776	0.439997	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	0.731001
20.1919	10.5975	4.77983	1.36813	0.487317	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	2.94976
20.2514	10.8645	4.82609	1.39243	0.486008	20.371	11.0109	20.1663	10.864	0.722256	4.7934	1.87753
20.2806	11.1191	4.84935	1.42057	0.485409	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	4.85533
20.315	11.3564	4.84619	1.44397	0.484524	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	0.0040124
20.2586	11.6075	4.8193	1.52498	0.580127	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	10.6499
20.331	11.8463	4.82612	1.52811	0.551151	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	4.779
20.3579	12.0801	4.83364	1.53061	0.499612	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	3.73847
20.3457	12.3619	4.88649	1.56675	0.509975	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	1.08184
20.2947	12.6018	4.86437	1.62761	0.57366	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	3.19208
20.3198	12.8412	4.86031	1.63941	0.555354	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	1.85795
20.3066	13.0739	4.84587	1.66623	0.558276	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	2.11043
20.2708	13.289	4.81198	1.69667	0.562277	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	1.0708
20.232	13.5243	4.81138	1.72253	0.553518	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	1.30451
20.2125	13.7804	4.83444	1.74277	0.544608	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	1.28114
20.1558	14.009	4.82157	1.78007	0.564353	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	0.852584
20.1014	14.2618	4.84592	1.8086	0.563811	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	0.328669
20.0294	14.491	4.84234	1.83996	0.565268	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	1.38474
19.922	14.7424	4.87916	1.8828	0.579624	19.781	14.773	19.934	14.6897	-1.30687	4.62805	1.20016
19.8554	14.9615	4.86233	1.89891	0.552539	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	3.41421
19.8239	15.1814	4.83279	1.90838	0.534211	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	2.17705
19.69	15.3921	4.82059	1.98704	0.640619	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	7.82683
19.6584	15.5845	4.75673	1.99557	0.617752	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	3.74556
19.5636	15.7916	4.74384	2.02167	0.608264	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	1.3873
19.4604	16.0038	4.7428	2.05083	0.606966	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	0.0131648
19.3587	16.2132	4.7391	2.06536	0.571559	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	1.8702
19.2486	16.3916	4.7001	2.09542	0.57458	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	0.791241
19.1297	16.5896	4.69456	2.12512	0.57754	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	0.289165
19.0011	16.7971	4.70829	2.15339	0.576403	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	0.0954262
18.8438	16.9887	4.72204	2.21369	0.645123	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	6.42898
18.6736	17.2183	4.79171	2.24756	0.644316	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	1.74428
18.5709	17.4243	4.77445	2.22971	0.544274	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	6.16812
18.3599	17.6124	4.82211	2.27662	0.563247	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	3.81698
18.2236	17.8043	4.81371	2.27869	0.508794	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	2.34347
18.0918	17.9911	4.79954	2.29469	0.499403	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	0.904596
17.9154	18.1462	4.78805	2.33894	0.536296	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	2.02546
17.782	18.2916	4.73144	2.36057	0.532654	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	1.14276
17.6477	18.4739	4.71862	2.36725	0.503128	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	6.66008
17.4558	18.6528	4.7549	2.39477	0.504517	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	0.445847
17.2742	18.7946	4.74259	2.43052	0.524079	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	1.78948
17.1119	18.9323	4.70964	2.45499	0.523195	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	0.362594
16.9446	19.1027	4.71609	2.46659	0.500829	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	3.01812
16.7284	19.2176	4.71569	2.50721	0.517176	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	2.71628
16.5387	19.3703	4.73023	2.53135	0.519701	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	3.22944
16.3169	19.5286	4.78125	2.55696	0.517837	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	0.851544
16.0934	19.6122	4.76604	2.60873	0.558097	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	10.0914
15.8891	19.7552	4.78579	2.62898	0.549498	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	0.775036
15.6998	19.8807	4.7633	2.63312	0.500142	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	3.19425
15.4719	20.0318	4.81586	2.65083	0.490888	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	1.37792
15.2619	20.1727	4.8347	2.66188	0.470258	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	5.68747
15.0722	20.3055	4.82474	2.67299	0.457604	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	1.82139
14.8422	20.3876	4.82422	2.71113	0.481929	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	2.16126
14.6265	20.507	4.83524	2.72766	0.473775	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	0.636564
14.391	20.5932	4.84998	2.76459	0.500957	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	1.31781
14.1447	20.6675	4.86499	2.7969	0.508143	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	0.754526
13.9086	20.7383	4.87207	2.83276	0.530087	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	0.379266
13.6361	20.8013	4.91509	2.8678	0.537842	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	1.82434
13.3888	20.8316	4.92021	2.92191	0.590987	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	2.35117
13.1416	20.8735	4.92345	2.95506	0.594657	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	0.164805
12.9102	20.9319	4.91701	2.97634	0.583436	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	1.76464
12.7064	20.9777	4.8718	2.99843	0.57758	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	1.84869
12.4552	21.0178	4.89055	3.02658	0.578714	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	2.58883
12.2081	21.0553	4.90157	3.05117	0.573711	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	0.1651
11.9697	21.075	4.89858	3.08237	0.582037	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	0.934723
